2026-08-05 23:43:01 [INFO] Run 239 of 500 - parameters sampled
2026-08-05 23:43:05 [INFO] Run 240 of 500 - parameters sampled
2026-08-05 23:43:08 [INFO] Run 241 of 500 - parameters sampled
2026-08-05 23:43:11 [INFO] Run 242 of 500 - parameters sampled
2026-08-05 23:43:14 [INFO] Run 243 of 500 - parameters sampled
2026-08-05 23:43:17 [INFO] Run 244 of 500 - parameters sampled
2026-08-05 23:43:26 [INFO] Run 245 of 500 - parameters sampled
2026-08-05 23:43:35 [INFO] Run 246 of 500 - parameters sampled
2026-08-05 23:43:42 [INFO] Run 247 of 500 - parameters sampled
2026-08-05 23:43:48 [INFO] Run 248 of 500 - parameters sampled
2026-08-05 23:43:53 [INFO] Run 249 of 500 - parameters sampled
2026-08-05 23:43:58 [INFO] Run 250 of 500 - parameters sampled
2026-08-05 23:44:01 [INFO] Run 251 of 500 - parameters sampled
2026-08-05 23:44:04 [INFO] Run 252 of 500 - parameters sampled
2026-08-05 23:44:08 [INFO] Run 253 of 500 - parameters sampled
2026-08-05 23:44:21 [INFO] Run 254 of 500 - parameters sampled
2026-08-05 23:44:28 [INFO] Run 255 of 500 - parameters sampled
2026-08-05 23:44:38 [INFO] Run 256 of 500 - parameters sampled
2026-08-05 23:44:44 [INFO] Run 257 of 500 - parameters sampled
2026-08-05 23:44:48 [INFO] Run 258 of 500 - parameters sampled
2026-08-05 23:44:52 [INFO] Run 259 of 500 - parameters sampled
2026-08-05 23:44:55 [INFO] Run 260 of 500 - parameters sampled
2026-08-05 23:44:58 [INFO] Run 261 of 500 - parameters sampled
2026-08-05 23:45:02 [INFO] Run 262 of 500 - parameters sampled
2026-08-05 23:45:05 [INFO] Run 263 of 500 - parameters sampled
2026-08-05 23:45:08 [INFO] Run 264 of 500 - parameters sampled
2026-08-05 23:45:12 [INFO] Run 265 of 500 - parameters sampled
2026-08-05 23:45:17 [INFO] Run 266 of 500 - parameters sampled
2026-08-05 23:45:32 [INFO] Run 267 of 500 - parameters sampled
2026-08-05 23:45:46 [INFO] Run 268 of 500 - parameters sampled
2026-08-05 23:45:52 [INFO] Run 269 of 500 - parameters sampled
2026-08-05 23:45:57 [INFO] Run 270 of 500 - parameters sampled
2026-08-05 23:46:00 [INFO] Run 271 of 500 - parameters sampled
2026-08-05 23:46:04 [INFO] Run 272 of 500 - parameters sampled
2026-08-05 23:46:07 [INFO] Run 273 of 500 - parameters sampled
2026-08-05 23:46:12 [INFO] Run 274 of 500 - parameters sampled
2026-08-05 23:46:16 [INFO] Run 275 of 500 - parameters sampled
2026-08-05 23:46:21 [INFO] Run 276 of 500 - parameters sampled
2026-08-05 23:46:28 [INFO] Run 277 of 500 - parameters sampled
2026-08-05 23:46:35 [INFO] Run 278 of 500 - parameters sampled
2026-08-05 23:46:41 [INFO] Run 279 of 500 - parameters sampled
2026-08-05 23:46:47 [INFO] Run 280 of 500 - parameters sampled
2026-08-05 23:46:52 [INFO] Run 281 of 500 - parameters sampled
2026-08-05 23:46:56 [INFO] Run 282 of 500 - parameters sampled
2026-08-05 23:47:00 [INFO] Run 283 of 500 - parameters sampled
2026-08-05 23:47:04 [INFO] Run 284 of 500 - parameters sampled
2026-08-05 23:47:10 [INFO] Run 285 of 500 - parameters sampled
2026-08-05 23:47:15 [INFO] Run 286 of 500 - parameters sampled
2026-08-05 23:47:19 [INFO] Run 287 of 500 - parameters sampled
2026-08-05 23:47:24 [INFO] Run 288 of 500 - parameters sampled
2026-08-05 23:47:31 [INFO] Run 289 of 500 - parameters sampled
2026-08-05 23:47:37 [INFO] Run 290 of 500 - parameters sampled
2026-08-05 23:47:47 [INFO] Run 291 of 500 - parameters sampled
2026-08-05 23:47:54 [INFO] Run 292 of 500 - parameters sampled
2026-08-05 23:48:00 [INFO] Run 293 of 500 - parameters sampled
2026-08-05 23:48:06 [INFO] Run 294 of 500 - parameters sampled
2026-08-05 23:48:09 [INFO] Run 295 of 500 - parameters sampled
2026-08-05 23:48:14 [INFO] Run 296 of 500 - parameters sampled
2026-08-05 23:48:18 [INFO] Run 297 of 500 - parameters sampled
2026-08-05 23:48:22 [INFO] Run 298 of 500 - parameters sampled
2026-08-05 23:48:28 [INFO] Run 299 of 500 - parameters sampled
2026-08-05 23:48:34 [INFO] Run 300 of 500 - parameters sampled
2026-08-05 23:48:39 [INFO] Run 301 of 500 - parameters sampled
2026-08-05 23:48:46 [INFO] Run 302 of 500 - parameters sampled
2026-08-05 23:48:51 [INFO] Run 303 of 500 - parameters sampled
2026-08-05 23:48:57 [INFO] Run 304 of 500 - parameters sampled
2026-08-05 23:49:02 [INFO] Run 305 of 500 - parameters sampled
2026-08-05 23:49:07 [INFO] Run 306 of 500 - parameters sampled
2026-08-05 23:49:12 [INFO] Run 307 of 500 - parameters sampled
2026-08-05 23:49:17 [INFO] Run 308 of 500 - parameters sampled
2026-08-05 23:49:21 [INFO] Run 309 of 500 - parameters sampled
2026-08-05 23:49:27 [INFO] Run 310 of 500 - parameters sampled
2026-08-05 23:49:33 [INFO] Run 311 of 500 - parameters sampled
2026-08-05 23:49:39 [INFO] Run 312 of 500 - parameters sampled
2026-08-05 23:49:45 [INFO] Run 313 of 500 - parameters sampled
2026-08-05 23:49:50 [INFO] Run 314 of 500 - parameters sampled
2026-08-05 23:49:55 [INFO] Run 315 of 500 - parameters sampled
2026-08-05 23:50:00 [INFO] Run 316 of 500 - parameters sampled
2026-08-05 23:50:05 [INFO] Run 317 of 500 - parameters sampled
2026-08-05 23:50:10 [INFO] Run 318 of 500 - parameters sampled
2026-08-05 23:50:16 [INFO] Run 319 of 500 - parameters sampled
2026-08-05 23:50:21 [INFO] Run 320 of 500 - parameters sampled
2026-08-05 23:50:25 [INFO] Run 321 of 500 - parameters sampled
2026-08-05 23:50:30 [INFO] Run 322 of 500 - parameters sampled
2026-08-05 23:50:36 [INFO] Run 323 of 500 - parameters sampled
2026-08-05 23:50:42 [INFO] Run 324 of 500 - parameters sampled
2026-08-05 23:50:47 [INFO] Run 325 of 500 - parameters sampled
2026-08-05 23:50:53 [INFO] Run 326 of 500 - parameters sampled
2026-08-05 23:50:57 [INFO] Run 327 of 500 - parameters sampled
2026-08-05 23:51:02 [INFO] Run 328 of 500 - parameters sampled
2026-08-05 23:51:07 [INFO] Run 329 of 500 - parameters sampled
2026-08-05 23:51:12 [INFO] Run 330 of 500 - parameters sampled
2026-08-05 23:51:17 [INFO] Run 331 of 500 - parameters sampled
2026-08-05 23:51:23 [INFO] Run 332 of 500 - parameters sampled
2026-08-05 23:51:28 [INFO] Run 333 of 500 - parameters sampled
